City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,abepura,-2.6333,140.5833,76.01,83,20,0.0,ID,1691603065
184,sao jose da coroa grande,-8.8978,-35.1478,79.25,63,5,10.54,BR,1691603065
185,margaret river,-33.95,115.0667,51.73,75,86,6.6,AU,1691603066
186,hermanus,-34.4187,19.2345,57.79,77,0,6.87,ZA,1691603066
187,priargunsk,50.3691,119.1012,58.33,84,39,2.95,RU,1691603066
188,tuy hoa,13.0833,109.3,82.33,69,73,9.22,VN,1691603067
189,bulancak,40.9372,38.2291,76.82,78,75,4.61,TR,1691603067
190,hilo,19.7297,-155.09,76.28,96,100,5.75,US,1691602818
191,aldama,22.9167,-98.0667,94.5,40,7,11.36,MX,1691603068
192,smithers,54.7804,-127.1743,59.32,94,75,0.0,CA,1691603068
193,hasaki,35.7333,140.8333,79.3,86,0,12.12,JP,1691602987
194,codrington,-38.2667,141.9667,49.69,80,68,17.02,AU,1691603069
195,chilecito,-29.1619,-67.4974,70.57,20,54,3.53,AR,1691602872
196,papatowai,-46.5619,169.4708,35.92,85,88,6.04,NZ,1691603069
197,sirte,31.2089,16.5887,81.1,59,16,12.55,LY,1691603069
198,enewetak,11.3474,162.3373,83.03,77,77,14.07,MH,1691603070
199,atafu village,-8.5421,-172.5159,82.96,78,75,14.83,TK,1691603070
200,natal,-5.795,-35.2094,75.85,100,75,14.97,BR,1691602954
201,tazovsky,67.4667,78.7,44.42,89,100,15.32,RU,1691603071
202,ilulissat,69.2167,-51.1,51.82,46,20,4.61,GL,1691603071
203,xinyuan,37.3,99.0,54.43,88,93,2.59,CN,1691603071
204,milford haven,51.7128,-5.0341,68.63,89,94,6.85,GB,1691603072
205,bereeda,11.8704,51.0579,85.5,62,100,7.18,SO,1691603072
206,gamba,-2.65,10.0,72.72,82,11,8.03,GA,1691603072
207,brownfield,33.1812,-102.2744,93.94,18,49,13.73,US,1691603072
208,acarau,-2.8856,-40.12,79.21,81,54,21.0,BR,1691603073
209,badger,64.8,-147.5333,62.51,93,100,5.75,US,1691603073
210,portland,45.5234,-122.6762,78.78,59,20,5.75,US,1691603073
211,pacific grove,36.6177,-121.9166,65.88,89,75,9.22,US,1691603074
212,mugia,43.1041,-9.2179,73.9,75,81,17.22,ES,1691603074
213,kingscliff,-28.2667,153.5667,49.95,93,10,3.44,AU,1691603074
214,yellowknife,62.456,-114.3525,68.52,49,75,17.27,CA,1691603075
215,peniche,39.3558,-9.3811,77.29,81,15,8.59,PT,1691603075
216,nkove,-7.95,30.85,75.4,45,6,2.66,TZ,1691603076
217,nuku'alofa,-21.1333,-175.2,70.14,94,40,8.05,TO,1691603076
218,kapa'a,22.0752,-159.319,80.92,79,100,19.57,US,1691603076
219,balqash,46.8481,74.995,79.02,45,17,5.48,KZ,1691603077
220,nuea khlong,8.0714,98.9993,77.14,94,20,0.0,TH,1691603077
221,boaz,34.2006,-86.1664,83.68,69,0,5.75,US,1691603077
222,kittila,67.6647,24.8936,64.62,94,82,3.44,FI,1691603078
223,menomonie,44.8755,-91.9193,79.74,44,0,0.0,US,1691603078
224,baotou,40.6522,109.8222,83.25,37,100,6.38,CN,1691603078
225,las khorey,11.1595,48.1967,90.79,54,100,8.88,SO,1691603079
226,musoma,-1.5,33.8,75.22,64,20,9.22,TZ,1691603079
227,nova vicosa,-17.8919,-39.3719,79.54,54,39,8.12,BR,1691603079
228,persembe,41.0656,37.7714,76.42,73,98,9.73,TR,1691603080
229,ad dilam,23.9915,47.1627,102.61,8,0,10.11,SA,1691603080
230,clinton,42.587,-82.9199,84.99,59,32,1.99,US,1691602861
231,port lincoln,-34.7333,135.8667,50.85,76,47,5.93,AU,1691603081
232,namibe,-15.1961,12.1522,63.9,87,41,9.55,AO,1691603081
233,potam,27.6,-110.3833,100.36,35,19,8.99,MX,1691603081
234,kargopol',61.5071,38.9456,64.08,76,3,5.44,RU,1691603082
235,santa ana,33.7456,-117.8678,87.93,70,75,5.75,US,1691603082
236,arrifes,37.7667,-25.7,73.65,88,75,8.05,PT,1691603082
237,antalaha,-14.9003,50.2788,68.13,89,10,7.4,MG,1691603082
238,stiens,53.2623,5.7577,64.98,71,20,11.5,NL,1691603083
239,uturoa,-16.7333,-151.4333,76.89,70,77,19.93,PF,1691603083
240,westport,41.1415,-73.3579,85.44,51,40,14.97,US,1691603046
241,ta`u,-14.2336,-169.5144,80.47,75,10,10.58,AS,1691603084
242,tongchuanshi,35.0806,109.0897,73.83,80,4,5.79,CN,1691603084
243,manokwari,-0.8667,134.0833,77.85,74,99,2.89,ID,1691603085
244,formosa do rio preto,-11.0483,-45.1931,93.78,22,9,7.81,BR,1691603085
245,ivanovskoye,44.5795,41.8764,82.33,45,37,3.78,RU,1691603085
246,kununurra,-15.7667,128.7333,60.78,82,13,0.0,AU,1691603086
247,baoding,38.8511,115.4903,77.29,85,53,0.83,CN,1691603086
248,palmer,42.1584,-72.3287,82.44,54,75,8.05,US,1691603017
249,nabire,-3.3667,135.4833,74.98,88,90,3.6,ID,1691603087
250,columbus,39.9612,-82.9988,84.63,61,75,12.66,US,1691603087
251,altamira,-3.2033,-52.2064,95.09,52,40,9.22,BR,1691603087
252,taber,49.8167,-112.1518,82.24,51,24,4.61,CA,1691603088
253,san agustin tlaxiaca,20.1167,-98.8833,74.26,41,7,4.05,MX,1691603088
254,jiaojiang,28.6803,121.4428,82.0,91,65,3.87,CN,1691603089
255,kaeng khoi,14.5862,100.9976,83.1,76,98,2.28,TH,1691603089
256,nelson bay,-32.7167,152.15,55.0,91,48,5.01,AU,1691603089
257,luderitz,-26.6481,15.1594,73.94,43,87,5.5,NA,1691603089
258,invercargill,-46.4,168.35,33.03,94,97,3.0,NZ,1691603090
259,asbe teferi,9.0833,40.8667,63.61,87,100,7.11,ET,1691603090
260,caravaca,38.1056,-1.8634,96.55,19,48,8.95,ES,1691603091
261,ribeira brava,32.65,-17.0667,82.0,91,2,6.26,PT,1691603091
262,gustavsberg,59.3268,18.3898,57.97,89,100,18.92,SE,1691603091
263,labrador city,52.9463,-66.9114,53.51,94,100,12.66,CA,1691603092
264,ma'an,26.9775,110.7211,78.35,94,24,1.28,CN,1691603092
265,salekhard,66.53,66.6019,50.25,82,48,6.08,RU,1691603092
266,formby,53.5536,-3.0682,74.34,75,82,2.64,GB,1691603093
267,turaif,31.6725,38.6637,91.65,9,0,6.91,SA,1691603093
268,puerto baquerizo moreno,-0.9,-89.6,79.79,74,75,13.8,EC,1691603093
269,san luis de la loma,17.2706,-100.8939,86.5,77,100,7.74,MX,1691603094
270,horta,38.5333,-28.6333,76.64,89,20,11.5,PT,1691603094
271,krasnoyarsk,56.0097,92.7917,61.2,83,87,5.01,RU,1691603094
272,okigwe,5.8352,7.3599,73.63,91,82,4.9,NG,1691603095
273,hami,42.8,93.45,86.43,22,28,14.18,CN,1691603095
274,salalah,17.0151,54.0924,78.89,94,100,6.91,OM,1691603095
275,virginia,37.5481,-77.4467,90.1,47,40,6.91,US,1691602968
276,kangaba,11.9333,-8.4167,85.82,60,99,7.18,ML,1691603096
277,atherton,53.5237,-2.4935,74.7,72,85,3.67,GB,1691603096
278,newman,37.3138,-121.0208,80.24,10,0,5.21,US,1691603097
279,eyl,7.9803,49.8164,77.32,79,34,25.03,SO,1691603097
280,chulym,55.0997,80.9572,58.8,79,40,4.63,RU,1691603097
281,arak,34.0917,49.6892,79.52,27,43,4.59,IR,1691602805
282,zhenlai,45.8495,123.2973,61.16,90,0,6.93,CN,1691603098
283,misratah,32.3754,15.0925,80.04,63,1,9.55,LY,1691603100
284,mount isa,-20.7333,139.5,46.17,81,4,3.44,AU,1691603100
285,lepsy,46.235,78.9456,79.75,36,5,7.81,KZ,1691603100
286,fort st. john,56.2499,-120.8529,62.49,77,75,4.61,CA,1691603101
287,nagqu,31.5,92.0,46.87,78,97,3.87,CN,1691603101
288,paita,-5.0892,-81.1144,68.32,92,81,16.08,PE,1691603101
289,sisimiut,66.9395,-53.6735,44.67,74,100,8.14,GL,1691603102
290,sao joao da barra,-21.6403,-41.0511,75.29,58,78,10.63,BR,1691602985
291,mumford,5.2618,-0.759,74.55,86,100,7.49,GH,1691603103
292,ciudad lazaro cardenas,17.9583,-102.2,89.24,64,30,6.22,MX,1691603103
293,nefteyugansk,61.0998,72.6035,50.0,74,64,13.42,RU,1691602914
294,kampong cham,11.9934,105.4635,82.56,67,96,7.78,KH,1691603104
295,kenora,49.8167,-94.4337,61.77,67,75,12.66,CA,1691603088
296,udachny,66.4167,112.4,61.45,51,13,8.12,RU,1691603107
297,corner brook,48.9667,-57.9484,66.36,63,100,12.64,CA,1691602868
298,luganville,-15.5333,167.1667,67.37,99,100,3.31,VU,1691603109
299,khoyniki,51.8911,29.9552,64.58,54,93,1.48,BY,1691603109
300,belmonte,-15.8631,-38.8828,77.27,62,12,9.71,BR,1691603109
301,kerikeri,-35.2268,173.9474,48.11,83,9,7.43,NZ,1691603110
302,gulf breeze,30.3571,-87.1639,95.38,65,20,12.66,US,1691603110
303,kota tinggi,1.7381,103.8999,84.29,93,28,1.36,MY,1691603110
304,itoman,26.1247,127.6694,80.98,100,20,6.91,JP,1691603111
305,suva,-18.1416,178.4415,67.48,100,75,3.44,FJ,1691603112
306,manzhouli,49.6,117.4333,61.81,57,90,3.74,CN,1691603113
307,bolgatanga,10.7856,-0.8514,75.16,96,100,1.61,GH,1691603114
308,okha,53.5739,142.9478,54.34,96,36,6.91,RU,1691603115
309,kone,-21.0595,164.8658,59.97,79,29,3.76,NC,1691603116
310,fulton,33.7668,-84.4499,87.94,62,0,9.22,US,1691603117
311,christies beach,-35.1396,138.4698,54.72,73,3,10.0,AU,1691603117
312,kambove,-10.8764,26.5969,65.53,34,1,3.98,CD,1691603117
313,fale old settlement,-9.3852,-171.2468,82.65,79,14,14.23,TK,1691603118
314,shingu,33.7333,135.9833,78.19,98,92,9.44,JP,1691603118
315,tual,-5.6667,132.75,77.92,80,57,20.69,ID,1691603119
316,chesma,53.8111,60.6533,59.95,85,92,5.32,RU,1691603119
317,mugumu,-1.85,34.7,69.96,53,94,2.93,TZ,1691603119
318,minas de marcona,-15.2119,-75.1103,64.49,60,15,12.06,PE,1691603120
319,palikir - national government center,6.9248,158.1611,80.1,79,99,9.35,FM,1691603120
320,blackmans bay,-43.0167,147.3167,53.73,72,100,4.14,AU,1691603120
321,dongola,19.1667,30.4833,105.03,20,55,7.67,SD,1691603121
322,isola di capo rizzuto,38.96,17.0933,81.34,47,0,6.91,IT,1691603121
323,yorkton,51.2167,-102.4677,62.44,59,100,8.05,CA,1691603121
324,chibougamau,49.9168,-74.3659,67.62,60,40,4.61,CA,1691603122
325,aktau,43.65,51.2,84.78,70,0,6.73,KZ,1691603122
326,akureyri,65.6835,-18.0878,49.93,71,75,11.5,IS,1691603123
327,port elizabeth,-33.918,25.5701,63.1,77,75,17.27,ZA,1691603040
328,inari,68.906,27.0288,75.4,81,45,4.0,FI,1691603124
329,nuuk,64.1835,-51.7216,45.21,81,75,11.5,GL,1691603124
330,birjand,32.8663,59.2211,81.07,17,0,13.8,IR,1691603125
331,cururupu,-1.8283,-44.8683,82.99,73,49,7.78,BR,1691603125
332,christchurch,-43.5333,172.6333,37.94,79,20,6.91,NZ,1691603014
333,venancio aires,-29.6064,-52.1919,62.26,99,100,1.54,BR,1691603034
334,chinde,26.8418,88.0763,67.93,95,100,4.05,NP,1691603127
335,talnakh,69.4865,88.3972,63.21,62,76,9.44,RU,1691603127
336,dire,12.2833,-10.9667,87.55,71,65,3.53,ML,1691603127
337,washington court house,39.5364,-83.4391,82.38,66,40,8.05,US,1691603128
338,awjilah,29.1081,21.2869,88.88,26,0,10.8,LY,1691603128
339,pangody,65.85,74.4859,49.87,67,41,19.71,RU,1691603129
340,al bawiti,28.3492,28.8659,89.1,24,0,8.19,EG,1691603129
341,saipan,15.1355,145.701,81.64,100,100,8.05,MP,1691603129
342,tanout,14.9709,8.8879,89.91,42,48,6.87,NE,1691603130
343,horishni plavni,49.0097,33.6455,68.34,50,16,7.58,UA,1691603130
344,massawa,15.6097,39.45,100.58,32,85,7.38,ER,1691603130
345,leua,48.2156,18.6071,59.86,87,100,2.13,SK,1691603131
346,weno,7.4515,151.8468,80.55,94,100,3.44,FM,1691603131
347,kem',64.9555,34.5793,62.28,75,70,5.7,RU,1691603132
348,pergamino,-33.89,-60.5736,66.18,44,27,8.95,AR,1691602970
349,kangding,30.0513,101.9603,63.23,97,100,2.35,CN,1691603132
350,sabha,27.0377,14.4283,87.49,19,0,9.71,LY,1691603133
351,phalaborwa,-23.943,31.1411,66.42,48,7,13.27,ZA,1691603133
352,sofiyivka,48.0493,33.8746,67.75,51,2,10.13,UA,1691603133
353,katsuura,35.1333,140.3,77.54,91,0,8.52,JP,1691603134
354,astaneh-ye ashrafiyeh,37.2596,49.9444,82.33,72,0,4.54,IR,1691603134
355,nosy varika,-20.5833,48.5333,66.4,90,25,1.34,MG,1691603135
356,amga,60.8953,131.9608,50.0,71,2,3.56,RU,1691603135
357,sitka,57.0531,-135.33,57.09,94,100,3.44,US,1691602920
358,sodankyla,67.4167,26.6,65.55,88,51,3.24,FI,1691603136
359,besni,37.6928,37.8611,84.99,23,0,3.8,TR,1691603136
360,gaigeturi,33.4644,126.3183,80.65,83,100,17.27,KR,1691603136
361,selfoss,63.9331,-20.9971,60.04,60,96,5.1,IS,1691603136
362,derzhavinsk,51.1,66.3167,65.14,80,20,9.15,KZ,1691603137
363,masina,-4.3836,15.3914,79.14,45,76,4.07,CD,1691603137
